"Date","State","City","Cause","Description","Gender","Age","Age demographic","MFI","Disability","Residential building type","Smoke alarms","Media URL"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Male","6","Children (14 and under)","8 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Male","2","Children (14 and under)","9 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Female","31","Unknown","10 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Female","21","Unknown","11 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Female","37","Unknown","12 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Female","19","Unknown","13 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Male","47","Unknown","14 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Female","5","Children (14 and under)","15 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Female","27","Unknown","16 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/09/2022","NY","New York (Bronx)","Heating","17 people died in an apartment building fire.","Male","12","Children (14 and under)","17 of 17","N","Multifamily","Not reported","https://www.fox5ny.com/news/bronx-fire-vigil-held-to-remember-victims"
"01/07/2022","NY","Albany","Under investigation","A 71-year-old woman died in a house fire.","Female","71","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.news10.com/news/local-news/71-year-old-house-fire-victim-identified/"
"01/05/2022","NY","Rochester","Under investigation","One person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Present and working","https://www.democratandchronicle.com/story/news/2022/01/05/one-dead-after-house-fire-rochester-ny/9102326002/"
"01/03/2022","NY","Brentwood","Under investigation","An man died in a house fire.","Male","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://patch.com/new-york/brentwood-central-islip/man-killed-brentwood-house-fire-pd"
"01/03/2022","NY","Rochester","Under investigation","A woman died in an apartment fire.","Female","Unknown","Unknown","","N","Multifamily","Not reported","https://www.democratandchronicle.com/story/news/2022/01/04/woman-dead-after-high-rise-apartment-fire-in-rochester-ny/9087457002/"
"12/28/2021","NY","Massapequa","Under investigation","A 54-year-old man died in a house fire (group home).","Male","54","Unknown","","N","Other","Not reported","https://patch.com/new-york/massapequa/4-injured-massapequa-house-fire"
"12/27/2021","NY","Utica","Under investigation","Two girls died in a house fire.","Female","6","Children (14 and under)","1 of 2","N","1 & 2 family
","Not reported","https://www.wktv.com/content/news/Teachers-organize-effort-to-help-community-help-the-family-of-two-young-fire-victims-575981121.html"
"12/27/2021","NY","Utica","Under investigation","Two girls died in a house fire.","Female","7","Children (14 and under)","2 of 2","N","1 & 2 family
","Not reported","https://www.wktv.com/content/news/Teachers-organize-effort-to-help-community-help-the-family-of-two-young-fire-victims-575981121.html"
"12/21/2021","NY","Buffalo","Under investigation","A 54-year-old man died in a house fire.","Male","54","Unknown","","N","1 & 2 family
","Not reported","https://buffalonews.com/news/local/crime-and-courts/man-54-dead-following-fire-on-west-winspear-avenue/article_a57b2432-6260-11ec-abad-f73c2fcfb91c.html"
"12/20/2021","NY","Bronx","Under investigation","A 57-year-old woman died in an apartment fire.","Female","57","Unknown","","N","Multifamily","Not reported","https://www.nydailynews.com/new-york/nyc-crime/ny-fatal-bronx-fire-20211220-7myg2qeyybdajh3vxjh7je5o44-story.html"
"12/20/2021","NY","Massapequa","Under investigation","A person died in a house fire.","Unknown","Unknown","Unknown","","N","1 & 2 family
","Not reported","https://bronx.news12.com/fire-officials-homeowner-killed-3-firefighters-injured-in-massapequa-house-fire"
"12/17/2021","NY","Brooklyn","Under investigation","A 63-year-old woman died in an apartment fire.","Female","63","Unknown","","N","Multifamily","Not reported","https://newyork.cbslocal.com/2021/12/17/flatbush-brooklyn-deadly-apartment-fire/"
"12/16/2021","NY","East Village (Manhatten)","Other equipment
","A 32-year-old man died in an apartment fire.","Male","32","Unknown","","N","Multifamily","Not reported","https://abc7ny.com/nycha-fire-apartment-deadly-fdny/11347429/"
"12/15/2021","NY","Queens","Electrical malfunction
","A 75-year-old woman and an 81-year-old man died in an apartment fire.","Male","81","Older adults (65 and older)","1 of 2","N","Multifamily","Not present/not working","https://pix11.com/news/local-news/queens/early-morning-flushing-apartment-fire-leaves-2-dead/"
"12/15/2021","NY","Queens","Electrical malfunction
","A 75-year-old woman and an 81-year-old man died in an apartment fire.","Female","75","Older adults (65 and older)","2 of 2","N","Multifamily","Not present/not working","https://pix11.com/news/local-news/queens/early-morning-flushing-apartment-fire-leaves-2-dead/"
"12/15/2021","NY","Bedford-Stuyvesant, Brooklyn","Cooking","A 27-year-old man died in an apartment fire.","Male","27","Unknown","","N","Multifamily","Not reported","https://pix11.com/news/local-news/brooklyn/bed-stuy-kitchen-fire-man-killed/"
"12/15/2021","NY","Bronx (Claremont Village)","Under investigation","A 66-year-old man died in an apartment fire.","Male","66","Older adults (65 and older)","","N","Multifamily","Not reported","https://pix11.com/news/local-news/bronx/man-killed-apartment-fire-butler-houses/"
"12/15/2021","NY","Granby","Under investigation","A 43-year-old woman and her 13-year-old son died in a house fire.","Female","43","Unknown","1 of 2","N","1 & 2 family
","Not reported","https://www.localsyr.com/news/local-news/mother-and-son-die-from-house-fire-in-town-of-granby/"
"12/15/2021","NY","Granby","Under investigation","A 43-year-old woman and her 13-year-old son died in a house fire.","Male","13","Children (14 and under)","2 of 2","N","1 & 2 family
","Not reported","https://www.localsyr.com/news/local-news/mother-and-son-die-from-house-fire-in-town-of-granby/"
"12/12/2021","NY","Irondequoit","Under investigation","A 36-year-old man died in a house fire.","Male","36","Unknown","","N","1 & 2 family
","Not reported","https://www.democratandchronicle.com/story/news/2021/12/13/richard-christiano-dies-after-house-fire-in-irondequoit-ny/6494981001/"
"12/09/2021","NY","Queens, New York","Under investigation","A woman died after an apartment fire.","Female","Unknown","Unknown","","N","Multifamily","Not reported","https://nypost.com/2021/12/10/nyc-woman-found-dead-after-queens-apartment-fire/"
"11/27/2021","NY","Palermo","Under investigation","A 74 year-old man died in a house fire.","Male","74","Older adults (65 and older)","","N","1 & 2 family
","Not reported","http://www.oswegocountynewsnow.com/news/victim-in-palermo-house-fire-identified/article_4a45bd0a-52f9-11ec-9981-1fbd3a5952f4.html"
"11/27/2021","NY","Mamaroneck","Under investigation","A woman died in an apartment fire.","Female","Unknown","Unknown","","N","Multifamily","Not reported","https://www.lohud.com/story/news/local/westchester/mamaroneck/2021/11/30/mamaroneck-fire-kills-woman-richbell-road/8807430002/"
"11/25/2021","NY","Hudson Valley","Under investigation","A 26 year old man died in a house fire.","Male","26","Unknown","","N","1 & 2 family
","Not reported","https://hudsonvalleypost.com/fire-kills-new-york-firefighter-on-thanksgiving-in-hudson-valley/"
"11/24/2021","NY","Pachogue","Under investigation","A 59-year-old woman died in an apartment fire.","Female","59","Unknown","","N","Multifamily","Not reported","https://dailyvoice.com/new-york/suffolk/news/id-released-for-woman-killed-in-suffolk-county-apartment-fire/821349/"
"11/20/2021","NY","Solvay","Under investigation","A 67-year-old man died in a house fire.","Male","67","Older adults (65 and older)","","N","1 & 2 family
","Not reported","https://www.syracuse.com/crime/2021/11/67-year-old-man-dies-after-being-badly-burned-in-solvay-fire.html"
"11/19/2021","NY","Harlem","Under investigation","A 37-year-old woman and a 81-year-old man died in an apartment fire. A 4-year-old girl died on 11/23/21 from injuries she sustained in this fire.","Female","37","Unknown","1 of 3","N","Multifamily","Not reported","https://pix11.com/news/local-news/manhattan/deadly-harlem-apartment-fire-child-critically-injured/"
"11/19/2021","NY","Harlem","Under investigation","A 37-year-old woman and a 81-year-old man died in an apartment fire. A 4-year-old girl died on 11/23/21 from injuries she sustained in this fire.","Male","81","Older adults (65 and older)","2 of 3","N","Multifamily","Not reported","https://pix11.com/news/local-news/manhattan/deadly-harlem-apartment-fire-child-critically-injured/"
"11/19/2021","NY","Harlem","Under investigation","A 37-year-old woman and a 81-year-old man died in an apartment fire. A 4-year-old girl died on 11/23/21 from injuries she sustained in this fire.","Female","4","Children (14 and under)","3 of 3","N","Multifamily","Not reported","https://pix11.com/news/local-news/manhattan/deadly-harlem-apartment-fire-child-critically-injured/"
"11/16/2021","NY","Riverhead (Suffolk County)","Under investigation","A 42-year-old woman, 16-year-old girl, 24-year-old man, 27-year-old man, and another 24-year-old man died in a house fire.","Female","42","Unknown","1 of 5","N","1 & 2 family
","Not reported","https://bronx.news12.com/neighbors-mourn-5-victims-of-riverhead-house-fire"
"11/16/2021","NY","Riverhead (Suffolk County)","Under investigation","A 42-year-old woman, 16-year-old girl, 24-year-old man, 27-year-old man, and another 24-year-old man died in a house fire.","Male","24","Unknown","2 of 5","N","1 & 2 family
","Not reported","https://bronx.news12.com/neighbors-mourn-5-victims-of-riverhead-house-fire"
